Name,Type,Address,Phone,PhotoOnSite,Comments,Distance,url,domain,phone,NeedsAppointment,zip
PONTE VEDRA BEACH POST OFFICE,Postal,"130 CORRIDOR ROAD PONTE VEDRA BEACH, FL 32082",9046863955,No,"BY APPOINTMENT ONLY - To schedule an appointment, Visit: http://www.usps.com/scheduler",312,https://usps.com/scheduler,usps,,True,32082
USPS MANDARIN POST OFFICE,Postal,"4411 SUNBEAM RD JACKSONVILLE, FL 32257",9043664852,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",316,https://usps.com/scheduler,usps,,True,32257
USPS POTTSBURG STATION,Postal,"10700 BEACH BLVD JACKSONVILLE, FL 32246",9046412172,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",321,https://usps.com/scheduler,usps,,True,32246
USPS JACKSONVILLE MAIN OFFICE WINDOW UNIT,Postal,"1100 KINGS ROAD JACKSONVILLE, FL 32203",9043664888,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit https://www.usps.com/scheduler.",327,https://usps.com/scheduler,usps,,True,32203
USPS GLEN SAINT MARY POST OFFICE,Postal,"7345 W MOUNT VERNON ST GLEN SAINT MARY, FL 32040",9042596789,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",332,https://usps.com/scheduler,usps,,True,32040
USPS MAYO POST OFFICE,Postal,"157 E MAIN ST MAYO, FL 32066",3862941623,Yes,Appointment Not Required | Walk-In To schedule appointment: 386-294-1623 website: usps.com/scheduler,341,https://usps.com/scheduler,usps,386-294-1623,False,32066
USPS FERNANDINA BEACH MAIN POST OFFICE,Postal,"1997 SADLER RD FERNANDINA BEACH, FL 32034",9044914680,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",342,https://usps.com/scheduler,usps,,True,32034
SAINT MARYS POST OFFICE,Postal,"724 CHARLIE SMITH SR HWY ST. MARYS, GA 31558",9127293301,Yes,APPOINTMENTS ONLY: VISIT WWW.USPS.COM/SCHEDULER.,355,https://usps.com/scheduler,usps,,True,31558
BRUNSWICK MAIN,Postal,"805 GLOUCESTER STREET BRUNSWICK, GA 31520",9122801250,Yes,TO SCHEDULE AN APPOINTMENT VISIT WWW.USPS.COM/SCHEDULER,380,https://usps.com/scheduler,usps,,Unknown,31520
LAKE PARK POST OFFICE,Postal,"687 LAKES BLVD LAKE PARK, GA 31636",2295597843,Yes,To schedule an appointment visit https://tools.usps.com/rcas.htm,384,https://usps.com/scheduler,usps,,Unknown,31636
NORTHSIDE VALDOSTA STATION,Postal,"3698 INNER PERIMETER RD VALDOSTA, GA 31602",2292417209,Yes,VISIT WWW. USPS.COM/SCHEDULER,400,https://usps.com/scheduler,usps,,Unknown,31602
USPS TALLAHASSEE POST OFFICE,Postal,"2800 S ADAMS ST TALLAHASSEE, FL 32301",8502164286,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",405,https://usps.com/scheduler,usps,,True,32301
