Name,Type,Address,Phone,PhotoOnSite,Comments,Distance,url,domain,phone,NeedsAppointment
SUWANNEE COUNTY CLERK OF COURT,Court,"200 S OHIO AVE LIVE OAK, FL 32064",3863620500,No,Appointment Not Required | Walk-In,355,,,,False
CAMDEN COUNTY SUPERIOR COURT,Court,"210 EAST 4TH STREET WOODBINE, GA 31569",9125765631,No,This office does not process hand-carry applications.,365,,,,Unknown
MADISON COUNTY CLERK OF COURT,Court,"125 SW RANGE AVE MADISON, FL 32340",8509731500,No,Appointment Not Required | Walk-In,377,,,,False
GLYNN COUNTY SUPERIOR COURT,Court,"701 H STREET BRUNSWICK, GA 31520",9125547313,No,"Call 912 554-7313. No Credit / Debit Cards.Check, Money Order for US Dept of State and Clerk of Superior co. Separate payment",380,,,912-554-7313,Unknown
BRANTLEY COUNTY SUPERIOR COURT,Court,"234 BRANTLEY STREET NAHUNTA, GA 31553",9124625635,No,Appointments are required please call (912)462-5635,387,,,912-462-5635,Unknown
WAKULLA COUNTY CLERK OF COURT,Court,"3056 CRAWFORDVILLE HWY CRAWFORDVILLE, FL 32327",8509260300,Yes,***No Appointment Required***,395,,,,False
CLINCH COUNTY SUPERIOR COURT,Court,"25 COURT SQUARE HOMERVILLE, GA 31634",9124875854,No,"Appointments call (912)487-5854,",396,,,912-487-5854,Unknown
JEFFERSON COUNTY CLERK OF COURT,Court,"1 COURTHOUSE CIR MONTICELLO, FL 32344",8503420218,No,Appointment Not Required | Walk-In,398,,,,False
SUPERIOR COURT WARE COUNTY,Court,"800 CHURCH STREET WAYCROSS, GA 31501",9122874340,No,,398,,,,Unknown
PIERCE COUNTY CLERKS OFFICE,County / State,"3550 HWY 84 BLACKSHEAR, GA 31516",9124492020,No,,401,,,,Unknown
FRANKLIN COUNTY CLERK OF COURT - FRANKLIN COUNTY COURTHOUSE,Court,"33 MARKET ST APALACHICOLA, FL 32320",8506538861,No,Appointment Not Required | Walk-In,405,,,,False
FLORIDA STATE UNIVERSITY - INTERNATIONAL PROGRAMS OFFICE,School,"282 CHAMPIONS WAY TALLAHASSEE, FL 32306",8506459714,Yes,By Appointment Only - Schedule online at Website: https://international.fsu.edu/Passports.aspx,407,https://international.fsu.edu/passports.aspx,fsu,,True
WAYNE COUNTY SUPERIOR COURT,Court,"174 N BRUNSWICK ST JESUP, GA 31546",9124275930,No,Appointments please call (912)427-5930,413,,,912-427-5930,Unknown
LEON COUNTY CLERK OF COURT - NORTHEAST BRANCH,Court,"1276 METROPOLITAN BLVD TALLAHASSEE, FL 32312",8506064060,Yes,*No Appointment Required* Website: www.leoncounty.com,414,https://leoncounty.com,leoncounty,,False
