Name,Type,Address,Phone,PhotoOnSite,Comments,Distance
USPS BRANDON POST OFFICE,Postal,"1315 OAKFIELD DR BRANDON, FL 33511",8136611503,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",195
HILLSBOROUGH COUNTY CLERK OF COURT - PLANT CITY BRANCH,Court,"301 N MICHIGAN AVE PLANT CITY, FL 33563",8132768100,No,***By Appointment Only***Contact 813-307-7178 for Further Assistance.,195
USPS VALRICO POST OFFICE,Postal,"2406 STATE ROAD 60 E VALRICO, FL 33594",8136570495,Yes,To schedule an appointment visit www.usps.com/scheduler,195
USPS POLK CITY POST OFFICE,Postal,"112 CARTER BLVD POLK CITY, FL 33868",8639844547,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://tools.usps.com/rcas.htm",197
USPS ALAFAYA POST OFFICE,Postal,"650 NORTH ALAFAYA TRAIL ORLANDO, FL 32828",4072736788,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",199
USPS FALKENBURG BRANCH,Postal,"10121 E ADAMO DR TAMPA, FL 33619",8136260654,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",199
USPS SAND LAKE BRANCH,Postal,"10450 TURKEY LAKE RD ORLANDO, FL 32819",4073510613,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",200
USPS DIXIE VILLAGE STATION,Postal,"2860 DELANEY AVE ORLANDO, FL 32806",4074252868,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",201
KATHLEEN POST OFFICE,Postal,"6136 KATHLEEN ROAD KATHLEEN, FL 33849",8638162201,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler",203
ORANGE COUNTY CLERK OF COURT - ORANGE COUNTY COURTHOUSE,Court,"425 N ORANGE AVE ORLANDO, FL 32801",4078362000,Yes,By Appointment only schedule online at www.myorangeclerk.com,203
USPS DOWNTOWN ORLANDO STATION,Postal,"51 E JEFFERSON ST ORLANDO, FL 32801",4074233709,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",203
USPS ORLANDO MOWU,Postal,"10401 POST OFFICE BOULEVARD ORLANDO, FL 32862",4078506334,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",203
PINELLAS COUNTY CLERK OF COURT - ST. PETERSBURG BRANCH OFFICE,Court,"545 1ST AVE N ST. PETERSBURG, FL 33701",7274647000,Yes,Appointment Not Required | Walk-In Website: mypinellasclerk.org,203
UNIVERSITY OF CENTRAL FLORIDA - THE SPOT,School,"106 AQUARIUS AGORA DR ORLANDO, FL 32816",4078232500,Yes,Appointment Not Required | Walk-In Website: spot.ucf.edu,204
USPS HERNDON POST OFFICE,Postal,"821 HERNDON AVE ORLANDO, FL 32814",4078973469,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",204
USPS GULFWINDS STATION,Postal,"4222 22ND AVE S ST. PETERSBURG, FL 33711",7273278469,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment call 727-327-8469, visit: http://www.usps.com/scheduler.",205
HILLSBOROUGH COUNTY CLERK OF COURT - DOWNTOWN TAMPA,Court,"419 PIERCE ST TAMPA, FL 33602",8132768100,No,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: WWW.HILLSCLERK.COM",205
ORANGE COUNTY CLERK OF COURT - WINTER PARK BRANCH,Court,"450 N LAKEMONT AVE WINTER PARK, FL 32792",4078366000,Yes,By Appointment only- schedule appointment: myorangeclerk.com,206
GULFPORT PUBLIC LIBRARY,Library,"5501 28TH AVE S GULFPORT, FL 33707",7278931074,No,By Appointment Only Please call 727-893-1074 or go to https://mygulfport.us/gpl/passports/ for further assistance,207
USPS MIMS POST OFFICE,Postal,"3405 KELLY RD MIMS, FL 32754",3212675122,Yes,Appointments - Website: usps.com/scheduler http://tools.usps.com,207
USPS GATEWAY STATION,Postal,"701 77TH AVE N ST. PETERSBURG, FL 33702",7275782802,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",207
USPS TAMPA MOWU,Postal,"3501 BESSIE COLEMAN BLVD TAMPA, FL 33630",8138770395,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",208
ORANGE COUNTY CLERK OF COURT - OCOEE BRANCH,Court,"475 STORY RD OCOEE, FL 34761",4078362007,Yes,Appointment Required- To schedule appointment: myorangeclerk.com,209
USF SHIMBERG HEALTH SCIENCES LIBRARY,Library,"12901 BRUCE B. DOWNS TAMPA, FL 33612",8139748432,No,For Scheduling an Appointment visit: https://health.usf.edu/libraries/passport-information,209
USPS NEW TAMPA POST OFFICE,Postal,"16350 BRUCE B DOWNS BLVD TAMPA, FL 33647",8139107987,Yes,"***BY APPOINTMENT ONLY*** Including Saturdays To schedule an appointment, visit: http://tools.usps.com/rcas.htm",209
USPS ZEPHYRHILLS POST OFFICE,Postal,"38032 POSTAL DR ZEPHYRHILLS, FL 33542",8137150149,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/passports",209
USPS CASSELBERRY MAIN POST OFFICE,Postal,"109 LIVE OAKS BLVD CASSELBERRY, FL 32707",4073397288,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",210
USPS ORLANDO LOCKHART BRANCH,Postal,"5087 EDGEWATER DRIVE ORLANDO, FL 32810",4072925835,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",210
USPS WINTER SPRINGS POST OFFICE,Postal,"1065 E STATE ROAD 434 WINTER SPRINGS, FL 32708",4073274569,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/international/passports.htm",211
USPS EHRLICH BRANCH,Postal,"14910 NORTH DALE MABRY HIGHWAY TAMPA, FL 33618",8139083478,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",212
LAKE COUNTY CLERK - CLERMONT,Court,"290 CITRUS TOWER BLVD. SUITE 116 CLERMONT, FL 34711",3523942018,Yes,Appointment required - please call 352-394-2018 Website: www.lakecountyclerk.org,213
USPS OAK HILL POST OFFICE,Postal,"129 EAST HALIFAX AVENUE OAK HILL, FL 32759",3863453574,Yes,For appointments please call 386-345-3574 or visit website: usps.com,213
USPS SEMINOLE POST OFFICE,Postal,"9355 113TH ST SEMINOLE, FL 33772",7273940847,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",214
SEMINOLE COUNTY CLERK OF COURT - RECORDS CENTER,Court,"1750 E LAKE MARY BLVD SANFORD, FL 32773",4076654405,Yes,"For Appointment please call 407-665-4405 - Walk-ins accepted starting June 1, 2021 Website: seminoleclerk.org",215
PASCO COUNTY CLERK OF COURT - EAST PASCO GOVERNMENT CENTER,Court,"14236 6TH ST DADE CITY, FL 33523",3525214406,Yes,Appointment Not Required | Walk-In,216
USPS LAND O LAKES MAIN POST OFFICE,Postal,"5230 LAND O LAKES BLVD LAND O LAKES, FL 34639",8139961257,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",217
PINELLAS COUNTY CLERK OF COURT - CLEARWATER BRANCH,Court,"315 COURT ST CLEARWATER, FL 33756",7274647000,Yes,Appointment Not Required | Walk-In,218
USPS CLEARWATER MAIN POST OFFICE,Postal,"100 S BELCHER RD CLEARWATER, FL 33765",7274642906,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",218
USPS INDIAN ROCKS BEACH POST OFFICE,Postal,"204 4TH AVE INDIAN ROCKS BEACH, FL 33785",7275962894,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",218
ORANGE COUNTY CLERK OF COURT - APOPKA BRANCH,Court,"1111 N ROCK SPRINGS RD APOPKA, FL 32712",4078362007,Yes,***Appointments Required*** To schedule an appointment: myorangeclerk.com,219
USPS OLDSMAR POST OFFICE,Postal,"3905 TAMPA RD OLDSMAR, FL 34677",8138544660,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",219
PINELLAS COUNTY CLERK OF COURT - NORTH COUNTY BRANCH,Court,"29582 US HWY 19 N CLEARWATER, FL 33761",7274647000,Yes,Appointment Not Required | Walk-In Website: http://www.mypinellasclerk.org,220
USPS DEBARY POST OFFICE,Postal,"133 S CHARLES RICHARD BEALL BLVD DEBARY, FL 32713",3866685468,Yes,To schedule an appointment for passport services Website: usps.com/scheduler,224
USPS EDGEWATER POST OFFICE,Postal,"400 S RIDGEWOOD AVE EDGEWATER, FL 32132",3864286656,Yes,Appointment Not Required | Walk-In,225
LAKE COUNTY CLERK OF COURT - LAKE COUNTY COURTHOUSE,Court,"550 W MAIN ST TAVARES, FL 32778",3522532648,Yes,By Appointments Only**Please call 352-253-2648 for further assistance - Website: www.lakecountyclerk.org,226
PASCO COUNTY CLERK OF COURT - WEST PASCO GOVERNMENT CENTER,Court,"8731 CITIZENS DR NEW PORT RICHEY, FL 34654",7278478086,Yes,Appointment Not Required | Walk-In Website: pascoclerk.com,228
USPS NEW PORT RICHEY MAIN POST OFFICE,Postal,"6550 MAIN ST NEW PORT RICHEY, FL 34653",7278471659,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",229
US POSTAL SERVICE LAKE HELEN FL,Postal,"104 E. MICHIGAN AVE. LAKE HELEN, FL 32744",3862282227,Yes,For appointments visit website: usps.com,230
EUSTIS MEMORIAL LIBRARY,Library,"120 NORTH CENTER STREET EUSTIS, FL 32726",3523575686,Yes,By Appointments Only Please Call 352-357-5686 for further assistance,231
SUMTER COUNTY CLERK OF COURT - MAIN OFFICE,Court,"215 E MCCOLLUM AVE BUSHNELL, FL 33513",3525696600,Yes,Appointment Not Required | Walk-In Website: sumterclerk.com,233
LAKE COUNTY LIBRARY SYSTEM - LEESBURG PUBLIC LIBRARY,Library,"100 E MAIN ST LEESBURG, FL 34748",3527289790,Yes,BY APPOINTMENT ONLY please contact (352)728-9790. Website: wwwleesburgflorida.gov/library,233
VOLUSIA COUNTY CLERK OF COURT - VOLUSIA COUNTY COURTHOUSE,Court,"101 N ALABAMA AVE DELAND, FL 32724",3867365913,Yes,***No Appointment Required***Contact 386-736-5913 for further assistance. Website: www.clerk.org,234
BROOKSVILLE MAIN POST OFFICE,Postal,"19101 CORTEZ BLVD. BROOKSVILLE, FL 34601",3525444093,Yes,"***BY APPOINTMENT ONLY*** Call 800-275-8777 To schedule an appointment, visit: http://www.usps.com/scheduler",235
HERNANDO COUNTY CLERK OF COURT - MAIN OFFICE,Court,"20 N MAIN ST BROOKSVILLE, FL 34601",3525406768,Yes,For appointment please call 352-540-6768 Website: hernandoclerk.org,235
USPS HUDSON POST OFFICE,Postal,"13610 BIG BEND DR HUDSON, FL 34667",7278190073,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",235
USPS PAISLEY POST OFFICE,Postal,"24952 COUNTY ROAD 42 PAISLEY, FL 32767",3526694253,Yes,Appointment Not Required | Walk-In,236
HERNANDO COUNTY CLERK OF COURT - SPRING HILL OFFICE,Court,"7405 FOREST OAKS BLVD SPRING HILL, FL 34606",3525406768,Yes,For appointment please contact (352)540-6768 Website: www.hernandoclerk.com,237
USPS DAYTONA BEACH MAIN POST OFFICE,Postal,"500 BILL FRANCE BOULEVARD DAYTONA BEACH, FL 32114",3862746329,Yes,For appointments please visit website usps.com/scheduler,241
LAKE COUNTY CLERK OF COURT - NORTH LAKE BRANCH OFFICE,Court,"902 AVENIDA CENTRAL LADY LAKE, FL 32159",3527532064,Yes,*Appointment Required - to schedule appointment please call 352-753-2064 or Website: www.lakecountyclerk.org,241
USPS DE LEON SPRINGS POST OFFICE,Postal,"155 PONCE DE LEON BLVD DE LEON SPRINGS, FL 32130",3869854326,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",244
"ANGELA VICK, CITRUS COUNTY CLERK OF THE CIRCUIT COURT AND COMPTOLLER",Court,"CLERK ANNEX 120 N. MONTGOMERY AVENUE INVERNESS, FL 34450",3523416424,Yes,For appointments visit Website: https://www.citrusclerk.org,245
USPS SUMMERFIELD POST OFFICE,Postal,"14560 S US HWY 301 SUMMERFIELD, FL 34491",3522452784,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",249
PUTNAM COUNTY CLERK OF COURT - CRESCENT CITY SATELLITE OFFICE,Court,"115 N SUMMIT ST CRESCENT CITY, FL 32190",3866981217,No,Appointment Not Required | Walk-In,257
USPS HOLDER POST OFFICE,Postal,"6906 N FLORIDA AVE HOLDER, FL 34445",3524895351,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",257
ANGELA VICK CLERK OF THE CIRCUIT COURT AND COMPTROLLER - CRYSTAL RIVER,Court,"1540 N MEADOWCREST BLVD. CRYSTAL RIVER, FL 34429",3523416424,Yes,By Appointment Only - Website: https://www.citrusclerk.org,258
FLAGLER COUNTY PUBLIC LIBRARY- BUNNELL BRANCH,Library,"103 E. MOODY BLVD. BUNNELL, FL 32110",3864377390,Yes,To Schedule appointments please contact them at 386-437-7390 Website: www.flaglerlibrary.org,261
USPS BUNNELL MAIN POST OFFICE,Postal,"704 E MOODY BVLD BUNNELL, FL 32110",3864378453,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",261
OCALA PADDOCK BRANCH,Postal,"4545 S.W. 60TH AVENUE OCALA, FL 34474",3524217176,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler",262
MARION COUNTY CLERK OF COURT - ANNEX BUILDING,Court,"19 NORTHWEST PINE AVENUE OCALA, FL 34475",3526715588,No,No Appointment Required / Walk-Ins Welcome Visit Website: www.marioncountyclerk.org,266
FLAGLER COUNTY PUBLIC LIBRARY - MAIN BRANCH,Library,"2500 PALM COAST PKWY NW PALM COAST, FL 32137",3864466763,Yes,"Walk In: Monday-Friday Saturday by appointment only, please contact (386)446-6763 #2",270
USPS REDDICK POST OFFICE,Postal,"15373 NW GAINESVILLE RD REDDICK, FL 32686",3525912832,Yes,Appointment Not Required | Walk-In To schedule appointment call 352-591-2832,280
USPS INTERLACHEN POST OFFICE,Postal,"100 MATHE AVE INTERLACHEN, FL 32148",3866842228,Yes,"To schedule an appointment, visit USPS.com Website and click on Schedule An Appointment",284
PUTNAM COUNTY CLERK OF COURT - RECORDING DEPARTMENT,Court,"518 ST. JOHNS AVE PALATKA, FL 32177",3863267680,No,Appointment Not Required | Walk-In,287
ST. JOHNS COUNTY CLERK OF COURTS - MAIN OFFICE,Court,"4010 LEWIS SPEEDWAY ST. AUGUSTINE, FL 32084",9048193632,No,***Appointment Not Required | Walk-In*** Website: https://stjohnsclerk.com,292
USPS ARCHER POST OFFICE,Postal,"13553 SW STATE ROAD 45 ARCHER, FL 32618",3524952565,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",296
ALACHUA COUNTY CLERK OF COURT - FAMILY/CIVIL JUSTICE CENTER,Court,"201 E UNIVERSITY AVE GAINESVILLE, FL 32601",3523743625,Yes,Appointments Required - Call 352-374-3636 or 352-374-3625 for further assistance.,296
USPS MAIN STREET STATION,Postal,"1401 N MAIN ST GAINESVILLE, FL 32601",3522716392,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",296
UNIVERSITY OF FLORIDA - MAIL AND DOCUMENT SERVICES,School,"3030 RADIO RD GAINESVILLE, FL 32611",3523921134,Yes,By appointment contact (352)392-1134 businessservices.ufl.edu/services/passport-services,297
CLAY COUNTY CLERK OF COURT - MAIN OFFICE,Court,"825 N ORANGE AVE GREEN COVE SPRINGS, FL 32043",9045293714,No,Appointments please call 904-529-3714 Website: clayclerk.com/our-services/passports,303
GILCHRIST COUNTY CLERK OF COURT,Court,"112 S MAIN ST TRENTON, FL 32693",3524633170,Yes,For appointment please call 352-463-3170 Website: gilchristclerk.com,310
BRADFORD COUNTY CLERK OF COURT,Court,"945 N TEMPLE AVE STARKE, FL 32091",9049666280,Yes,Appointment Required - Call 904-966-6280 Website: bradfordcountyfl.gov,311
USPS FLEMING ISLAND POST OFFICE,Postal,"1880 EASTWEST PKWY FLEMING ISLAND, FL 32003",9042648913,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",312
PONTE VEDRA BEACH POST OFFICE,Postal,"130 CORRIDOR ROAD PONTE VEDRA BEACH, FL 32082",9046863955,No,"BY APPOINTMENT ONLY - To schedule an appointment, Visit: http://www.usps.com/scheduler",312
USPS MANDARIN POST OFFICE,Postal,"4411 SUNBEAM RD JACKSONVILLE, FL 32257",9043664852,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",316
CLAY COUNTY CLERK OF COURT - ORANGE PARK BRANCH,Court,"1478 PARK AVE ORANGE PARK, FL 32073",9045412784,No,By Appointment Only**Please call 904-541-2784 for further assistance - visit: clayclerk.com,317
USPS POTTSBURG STATION,Postal,"10700 BEACH BLVD JACKSONVILLE, FL 32246",9046412172,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",321
DUVAL COUNTY CLERK OF COURT - BEACHES BRANCH,Court,"1543 ALTANTIC BLVD NEPTUNE BEACH, FL 32266",9042552000,No,For Appointment visit website: https://www2.duvalclerk.com,321
UNION COUNTY CLERK OF COURTS,Court,"55 W MAIN ST LAKE BUTLER, FL 32054",3864963711,No,Appointment Not Required | Walk-In / Website: unionclerk.com,323
DUVAL COUNTY CLERK OF COURT - DOWNTOWN COURTHOUSE,Court,"501 W ADAMS ST JACKSONVILLE, FL 32202",9042551930,No,By Appointments Only Website: www.duvalclerk.com,326
USPS JACKSONVILLE MAIN OFFICE WINDOW UNIT,Postal,"1100 KINGS ROAD JACKSONVILLE, FL 32203",9043664888,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit https://www.usps.com/scheduler.",327
BAKER COUNTY CLERK OF COURT,Court,"339 E MACCLENNY AVE MACCLENNY, FL 32063",9042598113,No,***No Appointment Required/ Walk-In***,331
USPS GLEN SAINT MARY POST OFFICE,Postal,"7345 W MOUNT VERNON ST GLEN SAINT MARY, FL 32040",9042596789,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",332
LAFAYETTE COUNTY CLERK OF COURT,Court,"120 W MAIN ST MAYO, FL 32066",3862941600,No,***No Appointment Required***,341
USPS MAYO POST OFFICE,Postal,"157 E MAIN ST MAYO, FL 32066",3862941623,Yes,Appointment Not Required | Walk-In To schedule appointment: 386-294-1623 website: usps.com/scheduler,341
NASSAU COUNTY PUBLIC LIBRARY SYSTEM - FERNANDINA BEACH BRANCH,Library,"25 N 4TH ST FERNANDINA BEACH, FL 32034",9045306500,Yes,No Appointments Needed Please call 904-530-6500 or go to Website: www.nassaureads.com,342
USPS FERNANDINA BEACH MAIN POST OFFICE,Postal,"1997 SADLER RD FERNANDINA BEACH, FL 32034",9044914680,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",342
COLUMBIA COUNTY CLERK OF COURT,Court,"173 NE HERNANDO AVE LAKE CITY, FL 32055",3867547005,No,Appointment Not Required | Walk-In,343
SUWANNEE COUNTY CLERK OF COURT,Court,"200 S OHIO AVE LIVE OAK, FL 32064",3863620500,No,Appointment Not Required | Walk-In,355
SAINT MARYS POST OFFICE,Postal,"724 CHARLIE SMITH SR HWY ST. MARYS, GA 31558",9127293301,Yes,APPOINTMENTS ONLY: VISIT WWW.USPS.COM/SCHEDULER.,355
CAMDEN COUNTY SUPERIOR COURT,Court,"210 EAST 4TH STREET WOODBINE, GA 31569",9125765631,No,This office does not process hand-carry applications.,365
MADISON COUNTY CLERK OF COURT,Court,"125 SW RANGE AVE MADISON, FL 32340",8509731500,No,Appointment Not Required | Walk-In,377
BRUNSWICK MAIN,Postal,"805 GLOUCESTER STREET BRUNSWICK, GA 31520",9122801250,Yes,TO SCHEDULE AN APPOINTMENT VISIT WWW.USPS.COM/SCHEDULER,380
GLYNN COUNTY SUPERIOR COURT,Court,"701 H STREET BRUNSWICK, GA 31520",9125547313,No,"Call 912 554-7313. No Credit / Debit Cards.Check, Money Order for US Dept of State and Clerk of Superior co. Separate payment",380
LAKE PARK POST OFFICE,Postal,"687 LAKES BLVD LAKE PARK, GA 31636",2295597843,Yes,To schedule an appointment visit https://tools.usps.com/rcas.htm,384
BRANTLEY COUNTY SUPERIOR COURT,Court,"234 BRANTLEY STREET NAHUNTA, GA 31553",9124625635,No,Appointments are required please call (912)462-5635,387
WAKULLA COUNTY CLERK OF COURT,Court,"3056 CRAWFORDVILLE HWY CRAWFORDVILLE, FL 32327",8509260300,Yes,***No Appointment Required***,395
CLINCH COUNTY SUPERIOR COURT,Court,"25 COURT SQUARE HOMERVILLE, GA 31634",9124875854,No,"Appointments call (912)487-5854,",396
JEFFERSON COUNTY CLERK OF COURT,Court,"1 COURTHOUSE CIR MONTICELLO, FL 32344",8503420218,No,Appointment Not Required | Walk-In,398
SUPERIOR COURT WARE COUNTY,Court,"800 CHURCH STREET WAYCROSS, GA 31501",9122874340,No,,398
NORTHSIDE VALDOSTA STATION,Postal,"3698 INNER PERIMETER RD VALDOSTA, GA 31602",2292417209,Yes,VISIT WWW. USPS.COM/SCHEDULER,400
PIERCE COUNTY CLERKS OFFICE,County / State,"3550 HWY 84 BLACKSHEAR, GA 31516",9124492020,No,,401
FRANKLIN COUNTY CLERK OF COURT - FRANKLIN COUNTY COURTHOUSE,Court,"33 MARKET ST APALACHICOLA, FL 32320",8506538861,No,Appointment Not Required | Walk-In,405
USPS TALLAHASSEE POST OFFICE,Postal,"2800 S ADAMS ST TALLAHASSEE, FL 32301",8502164286,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",405
FLORIDA STATE UNIVERSITY - INTERNATIONAL PROGRAMS OFFICE,School,"282 CHAMPIONS WAY TALLAHASSEE, FL 32306",8506459714,Yes,By Appointment Only - Schedule online at Website: https://international.fsu.edu/Passports.aspx,407
WAYNE COUNTY SUPERIOR COURT,Court,"174 N BRUNSWICK ST JESUP, GA 31546",9124275930,No,Appointments please call (912)427-5930,413
LEON COUNTY CLERK OF COURT - NORTHEAST BRANCH,Court,"1276 METROPOLITAN BLVD TALLAHASSEE, FL 32312",8506064060,Yes,*No Appointment Required* Website: www.leoncounty.com,414
